ESB196584;4250
WLZ137562;2709
UMR143960;7355
CJM574831;6767
TAF940536;4289
KNO816932;8808
RDX461058;808
OZW930862;3170
ECG635814;1950
QYM416538;1806
WOD743016;521
PME547108;1916
FXQ619285;1648
KPN843579;498
HRM061529;9143
MTL826753;8985
COD094512;5316
MZH618475;6667
ITE798210;416
YBM982650;8860
WDN143852;5638
ZIX906714;287
GFH592746;2622
KVB605124;7133
KZS249786;562
GPS421835;8384
VUQ627083;166
FAV659140;3248
HET491762;3841
CUA917450;4450
VEU972861;1209
XGO437619;4129
KRT827134;5284
WXS603894;2506
ABG516798;58
WMV371056;5299
BVP031287;5270
GUB791064;1581
HNZ750138;503
CVS487293;1657
AGY260437;6301
OQJ867150;3461
LKR157028;9341
NUK768215;6273
SXY098264;6846
YSU164902;3485
VSF064827;9904
SYA472039;4508
YLK950287;4963
VOI571362;1232
ASH129085;4700
KDM480195;2428
FGU487201;5231
TXJ792608;2054
SOW051862;5235
ECK870912;4378
JMS580473;1384
LWJ630924;7222
