OPN940781;8033
LKY135602;8649
PNR285497;3454
ESB196584;4250
FKH293476;5336
XMH529384;8435
UMR143960;7355
CJM574831;6767
NTV275364;1854
WEM658309;7191
DWI890613;4009
TAF940536;4289
KNO816932;8808
RDX461058;808
HBQ294753;7682
IOU734091;8069
QSG804973;6934
FTN716435;3265
IVH537649;8945
FXQ619285;1648
KPN843579;498
YUK510246;5040
HKS752813;5632
TAR092457;8866
HRM061529;9143
MZH618475;6667
ITE798210;416
YBM982650;8860
WDN143852;5638
ZIX906714;287
VSX846013;7808
XVF681375;2343
ULN781360;1626
GDQ310678;118
PZL671904;7974
GFH592746;2622
UWR961203;1390
KVB605124;7133
KZS249786;562
GPS421835;8384
VUQ627083;166
HET491762;3841
ZDK743602;7123
QZT138657;1084
CUA917450;4450
XGO437619;4129
KRT827134;5284
WXS603894;2506
ABG516798;58
KMT842517;6908
TCE359610;5155
BVP031287;5270
GUB791064;1581
HNZ750138;503
CVS487293;1657
OSD294360;3602
SJE734609;5647
LWJ630924;7222
