WOD743016;521
HBQ294753;7682
IOU734091;8069
VYD759348;3921
PME547108;1916
VOY791054;7345
QSG804973;6934
FTN716435;3265
IVH537649;8945
FXQ619285;1648
KPN843579;498
YBM982650;8860
WDN143852;5638
ZIX906714;287
VSX846013;7808
XVF681375;2343
ULN781360;1626
GDQ310678;118
PZL671904;7974
UMI806971;2368
UKC351289;7063
GFH592746;2622
UWR961203;1390
KVB605124;7133
KZS249786;562
GPS421835;8384
VUQ627083;166
FAV659140;3248
HET491762;3841
ZDK743602;7123
QZT138657;1084
CUA917450;4450
VEU972861;1209
XGO437619;4129
KRT827134;5284
WXS603894;2506
ABG516798;58
WMV371056;5299
KMT842517;6908
TCE359610;5155
BVP031287;5270
GUB791064;1581
HNZ750138;503
CVS487293;1657
AGY260437;6301
VSF064827;9904
SYA472039;4508
YLK950287;4963
VOI571362;1232
ASH129085;4700
KDM480195;2428
FGU487201;5231
TXJ792608;2054
SOW051862;5235
ECK870912;4378
JMS580473;1384
OSD294360;3602
NEJ623974;193
SJE734609;5647
LWJ630924;7222
